symbol,session_date,selected_at,entry_time,exit_time,exit_reason,net_pnl,won,entry_minutes,signal_minutes,stop_risk_pct,first15_range_pct,breakout_pct,c2_range_pct,c2_body_pct,c2_relative_volume,c3_body_pct,c3_close_position,stock_history_bars,stock_above_vwap,stock_vwap_distance_pct,stock_ema9_over_ema20_pct,stock_ema9_slope_pct,stock_rsi14,stock_macd_hist_pct,stock_atr14_pct,stock_return_15m_pct,stock_return_30m_pct,stock_latest_relative_volume,spy_history_bars,spy_above_vwap,spy_vwap_distance_pct,spy_ema9_over_ema20_pct,spy_ema9_slope_pct,spy_rsi14,spy_macd_hist_pct,spy_atr14_pct,spy_return_15m_pct,spy_return_30m_pct,spy_latest_relative_volume
SPOT,2026-08-11,2026-08-11T10:30:00-04:00,2026-08-11T10:30:15-04:00,2026-08-11T15:45:10-04:00,FORCE_EXIT,-0.7005389999999991,0,60.0,25.0,1.0842271231970089,1.7801980198019822,0.25486877176597705,1.0166108401402454,0.8246655305478795,1.9147769225805047,0.015572382379835175,0.801020408163218,6.0,1.0,0.8025498739904191,0.3987372064463369,0.6329916610741517,100,0.19169504194950845,0.7982049291674753,0.9740775068632092,0,1.2302668966894807,0.0,0.0,0,0,0,50,0,0,0,0,0
DKS,2026-08-11,2026-08-11T10:30:10-04:00,2026-08-11T10:30:25-04:00,2026-08-11T15:45:10-04:00,FORCE_EXIT,-0.23528100000000052,0,60.0,30.0,1.391412450989766,1.9170731707317108,0.35897190446561045,1.2489732811518617,1.0532927477412217,2.5974160046952806,0.25341876255140156,0.5346534653465447,7.0,1.0,1.1696308519391838,0.3127431856732065,0.5479085047469738,83.26923076923075,0.1598145705828088,1.0400201667847633,1.537493038909475,1.6778198040927204,0.3080637948658084,0.0,0.0,0,0,0,50,0,0,0,0,0
BRBR,2026-08-13,2026-08-13T10:30:00-04:00,2026-08-13T10:30:15-04:00,2026-08-13T15:45:10-04:00,FORCE_EXIT,-0.14038299999999992,0,60.0,35.0,1.2612612612612504,1.9283746556473742,0.8108108108108096,1.1775362318840652,0.8152173913043628,1.2575258343599476,0.540540540540529,0.9000000000000018,8.0,1.0,1.4708462141144698,0.14195999893596786,0.5970809856567124,69.33333333333327,0.12730744917608963,0.9159964253798016,1.9589977220956705,1.819836214740667,1.8802900916371608,0.0,0.0,0,0,0,50,0,0,0,0,0
AEVA,2026-08-13,2026-08-13T10:32:55-04:00,2026-08-13T10:33:25-04:00,2026-08-13T15:45:10-04:00,FORCE_EXIT,-4.975465,0,62.0,50.0,1.8489378442171613,2.5392986698911835,0.6092767295597389,1.755786113328018,1.296887470071825,2.749730278371091,0.6884343036978644,0.7621951219512144,11.0,1.0,1.8000694957371073,0.08717373935827526,0.8642709835706821,60.738255033557095,0.20212431814337475,1.34777744232716,2.708667736757613,3.0809504631494185,2.90466248937961,0.0,0.0,0,0,0,50,0,0,0,0,0
EROC,2026-08-17,2026-08-17T10:45:45-04:00,2026-08-17T10:46:05-04:00,2026-08-17T12:03:20-04:00,TAKE_PROFIT,1.5827680000000015,1,75.0,55.0,1.6441573693482154,4.583835946924015,0.25951557093426586,2.326968973746999,1.70107398568019,0.9682684422937669,1.262477980035231,0.8765432098765495,12.0,1.0,2.589167578752503,0.07019783512892828,0.7985615179477759,57.549857549857556,0.23556825007808477,1.87144089732528,3.297682709447435,3.2056990204808713,1.5931888336054612,0.0,0.0,0,0,0,50,0,0,0,0,0
FRVO,2026-08-18,2026-08-18T10:30:00-04:00,2026-08-18T10:30:15-04:00,2026-08-18T13:15:20-04:00,TAKE_PROFIT,1.312075,1,60.0,30.0,1.491048829003628,4.404291360813086,0.37858301784748666,2.569455508369825,1.3185146931981038,5.759378982742991,0.3252014894228146,0.5497748874437215,7.0,1.0,1.3614942107920864,0.7130175847993421,0.9839272447558525,88.01317790167256,0.3172934255183405,1.7742456896551722,2.0060456169277185,3.3407572383073374,1.6658802692180237,0.0,0.0,0,0,0,50,0,0,0,0,0
FLY,2026-08-21,2026-08-21T10:30:00-04:00,2026-08-21T10:30:15-04:00,2026-08-21T11:57:20-04:00,TAKE_PROFIT,1.4837599999999966,1,60.0,25.0,1.7747378321961154,2.551127978072951,0.24671052631578422,1.1463109629012178,0.6669445602334312,0.6753077572081508,0.4950454204173127,0.4663108739159393,6.0,1.0,0.9669860682595711,0.02742179647103764,0.18252433291921386,66.66666666666643,0.040379278852024185,1.3223270440251575,1.3279025789156413,0,1.4111448244806861,0.0,0.0,0,0,0,50,0,0,0,0,0
RDDT,2026-08-24,2026-08-24T10:30:00-04:00,2026-08-24T10:30:15-04:00,2026-08-24T15:45:10-04:00,FORCE_EXIT,-0.16167999999999694,0,60.0,35.0,1.017368071220351,2.8820375335120723,0.12377850162866302,1.0067228544256015,0.278752500573891,2.1440820693231224,0.49066044203926334,0.8476848090982894,8.0,1.0,0.9465348011172645,0.04334372777992059,0.26469738982273544,63.821656050955376,0.05197405659861441,1.139436528076,1.3351795074671189,0.6252659835662971,0.827741408008201,0.0,0.0,0,0,0,50,0,0,0,0,0
CIFR,2026-08-26,2026-08-26T10:30:00-04:00,2026-08-26T10:30:15-04:00,2026-08-26T15:45:10-04:00,FORCE_EXIT,-0.14363199999999665,0,60.0,35.0,1.5132798023471339,2.5380064881368924,0.9615384615384465,1.438848920863312,1.1260556771973709,1.945986818240233,0.46324891908585103,0.424999999999988,8.0,1.0,1.583018009295354,0.3344895249301505,0.7590479249904575,75.6097560975607,0.19921335354476818,1.267434715821814,1.7187499999999911,2.616645649432529,1.193488242192931,0.0,0.0,0,0,0,50,0,0,0,0,0
AKAM,2026-08-27,2026-08-27T10:30:00-04:00,2026-08-27T10:30:15-04:00,2026-08-27T15:45:10-04:00,FORCE_EXIT,0.11968399999999946,1,60.0,45.0,1.0288808664259934,1.4621219044137752,0.013509862199406078,1.5661992351120135,1.0061919504644,2.4342880359127914,0.04963898916968125,0.5326086956521746,10.0,1.0,0.8821990835782181,0.09000677116490395,0.3068310051799708,60.70441988950282,0.07976545427205187,0.804268539781172,1.060247542773941,1.3646736649931581,0.3231085636784096,0.0,0.0,0,0,0,50,0,0,0,0,0
